,0
0,174
1,200
2,169
3,186
4,229
5,120
6,60
7,135
8,119
9,56
10,149
11,93
12,83
13,67
14,129
15,147
16,163
17,103
18,182
19,248
20,100
21,198
22,80
23,219
24,164
25,115
26,93
27,180
28,157
29,204
30,108
31,145
32,158
33,244
34,154
35,82
36,95
37,203
38,168
39,176
40,200
41,137
42,208
43,104
44,153
45,215
46,84
47,73
48,99
49,187
50,162
51,95
52,98
53,110
54,219
55,194
56,136
57,123
58,97
59,94
60,87
61,74
62,68
63,125
64,87
65,72
66,104
67,196
68,91
69,203
70,72
71,78
72,74
73,277
74,67
75,190
76,196
77,89
78,82
79,166
80,236
81,278
82,146
83,288
84,179
85,226
86,151
87,171
88,103
89,206
90,66
91,177
92,115
93,128
94,164
95,51
96,204
97,204
98,199
99,104
100,130
101,84
102,207
103,179
104,75
105,65
106,232
107,85
108,208
109,295
110,167
111,80
112,158
113,131
114,98
115,80
116,106
117,94
118,135
119,59
120,97
121,103
122,105
123,138
124,143
125,79
126,250
127,89
128,165
129,182
130,166
131,68
132,265
133,198
134,363
135,383
136,102
137,126
138,261
139,377
140,100
141,219
142,574
143,70
144,254
145,404
146,180
147,432
148,455
149,110
150,86
151,210
152,75
153,413
154,162
155,110
156,390
157,67
158,312
159,434
160,101
161,174
162,184
163,541
164,363
165,266
166,168
167,321
168,210
169,361
170,197
171,284
172,288
173,244
174,447
175,81
176,132
177,292
178,287
179,494
180,412
181,126
182,517
183,450
184,329
185,164
186,232
187,195
188,458
189,418
190,245
191,232
192,307
193,259
194,125
195,114
196,322
197,135
198,427
199,79
200,247
201,264
202,547
203,157
204,131
205,442
206,143
207,516
208,305
209,275
210,255
211,156
212,129
213,454
214,231
215,108
216,116
217,295
218,492
219,151
220,457
221,291
222,224
223,111
224,234
225,135
226,101
227,203
228,168
229,365
230,162
231,317
232,383
233,418
234,239
235,196
236,431
237,489
238,88
239,205
240,327
241,177
242,198
243,228
244,569
245,166
246,132
247,307
248,166
249,158
250,195
251,171
252,377
253,76
254,213
255,188
256,145
257,164
258,140
259,313
260,124
261,260
262,168
263,226
264,191
265,157
266,153
267,175
268,299
269,236
270,188
271,179
272,255
273,161
